$end ( ) * + - . / ; < << <= <> = > >= CONSTANTE ENQUANTO IMPRIMIR INTEIRO LER REAL SE SENAO VARIAVEL [ ] { } #AT #C #CMD #DV #EXPA #EXPR #ID #IDC #IF #IMP #LE #LI #LIC #OP #OPR #S #SENAOS #T #WH
e0 X X X X X X X X X X X X X X X X X X X X X X X X X e2 X X X X X X X X X X X X X X X X X X e1 X X X
e1 acc X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X
e2 X X X X X X X X X X X X X X X X X X X e5 X e6 X X X X X X X X X X e3 X X X X X X X X X X X X X e4 X
e3 X X X X X X X X X X X X X X X X X e16 e18 X e17 X e15 X e19 X r9 X X e9 e8 e7 X X X e14 X e10 e13 e12 X X X X X X X e11
e4 X X X X X X X X X X X X X X X X X X X X X X X X e19 X X X X X X X X X X e21 X X X X e20 X X X X X X X
e5 X X X X X X X X X X X X X X X X X X X X X X X X r4 X X X X X X X X X X X X X X X X X X X X X X X
e6 X X X X X X X X X X X X X X X X X X X X X X X X r5 X X X X X X X X X X X X X X X X X X X X X X X
e7 X X X X X X X X X X X X X X X X X X X X X X X X X X e22 X X X X X X X X X X X X X X X X X X X X X
e8 X X X X X X X X X X X X X X X X X e16 e18 X e17 X e15 X e19 X r9 X X e9 e8 e23 X X X e14 X e10 e13 e12 X X X X X X X e11
e9 X X X X X X X X X X X X X X X X X r10 r10 X r10 X r10 X r10 X r10 X r10 X X X X X X X X X X X X X X X X X X X
e10 X X X X X X X X X X X X X X X X X r11 r11 X r11 X r11 X r11 X r11 X r11 X X X X X X X X X X X X X X X X X X X
e11 X X X X X X X X X X X X X X X X X r12 r12 X r12 X r12 X r12 X r12 X r12 X X X X X X X X X X X X X X X X X X X
e12 X X X X X X X X X X X X X X X X X r13 r13 X r13 X r13 X r13 X r13 X r13 X X X X X X X X X X X X X X X X X X X
e13 X X X X X X X X X X X X X X X X X r14 r14 X r14 X r14 X r14 X r14 X r14 X X X X X X X X X X X X X X X X X X X
e14 X X X X X X X X X X e24 X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X
e15 X e27 X X X e29 X X X X X X X X X X e30 X X X X X X X e19 X X X X X X X X e26 e25 e31 e28 X X X X X X X X X X X
e16 X e27 X X X e29 X X X X X X X X X X e30 X X X X X X X e19 X X X X X X X X e26 e32 e31 e28 X X X X X X X X X X X
e17 X X X X X X X X X X X X X X X X X X X X X X X X e19 X X X X X X X X X X e33 X X X X X X X X X X X X
